it nTrial nWin nCatch RMSerror.start RMSerror.antic RMSerror.win RMSerror.nowin GLT.w-n GLT.a-w GLT.a-n GLT.a-w-n r.win r.nowin
56 36 9 0 0.32220 0.29460 0.37960 0.33460 0.28810 0.47970 0.43460 0.71080 0.065 0.055
57 36 9 0 0.32740 0.28850 0.38160 0.33900 0.28730 0.52280 0.48010 0.77370 0.082 0.093
58 36 9 0 0.32140 0.29040 0.39990 0.32880 0.30210 0.50280 0.46150 0.74710 -0.021 0.182
59 36 9 0 0.34470 0.29240 0.38430 0.35730 0.26820 0.48680 0.46110 0.75330 0.067 0.091
60 36 9 0 0.32300 0.29420 0.38800 0.33330 0.26930 0.48970 0.45050 0.73840 0.021 0.132
61 36 9 0 0.31340 0.29380 0.37470 0.31010 0.26400 0.51280 0.47020 0.75150 0.052 0.196
62 36 9 0 0.31330 0.30360 0.39670 0.32330 0.27700 0.45830 0.40660 0.68430 0.030 0.011
63 36 9 0 0.31300 0.30160 0.38430 0.32680 0.28990 0.46090 0.41580 0.68180 -0.024 0.136
64 36 9 0 0.31150 0.29230 0.37470 0.31530 0.28270 0.46670 0.42190 0.68580 0.054 0.058
65 36 9 0 0.28950 0.29030 0.33940 0.30050 0.27660 0.48170 0.44810 0.69110 0.077 0.112
66 36 9 0 0.30090 0.28690 0.36850 0.30950 0.27670 0.49000 0.44670 0.71570 0.078 0.104
67 36 9 0 0.31110 0.29240 0.39460 0.30260 0.29010 0.50360 0.44960 0.73030 0.010 0.191
68 36 9 0 0.32140 0.28960 0.39420 0.31760 0.27440 0.50370 0.45750 0.74840 0.022 0.121
69 36 9 0 0.32870 0.30020 0.36270 0.33670 0.26620 0.53910 0.52200 0.80440 0.123 0.127
70 36 9 0 0.34960 0.29290 0.41880 0.36160 0.27120 0.51750 0.47500 0.80020 0.037 0.114
71 36 9 0 0.30070 0.28690 0.37190 0.30730 0.28370 0.50180 0.45900 0.72970 0.067 0.110
72 36 9 0 0.33850 0.28860 0.40550 0.33840 0.28500 0.51800 0.46890 0.77630 0.017 0.111
73 36 9 0 0.29230 0.28800 0.36420 0.29850 0.26960 0.49010 0.44360 0.70930 0.049 0.146
74 36 9 0 0.29760 0.29130 0.36980 0.31530 0.28440 0.47030 0.42600 0.68790 0.068 0.078
75 36 9 0 0.31530 0.29240 0.40340 0.30730 0.27670 0.50530 0.44930 0.74320 -0.013 0.174
76 36 9 0 0.29890 0.28870 0.37070 0.30240 0.27640 0.46270 0.41820 0.67680 -0.007 0.116
77 36 9 0 0.34750 0.29010 0.39620 0.37320 0.26220 0.50060 0.47320 0.78610 0.118 0.023
78 36 9 0 0.31960 0.29010 0.40560 0.32500 0.27220 0.49490 0.44500 0.74490 0.014 0.109
79 36 9 0 0.27290 0.29480 0.33190 0.28330 0.26550 0.44950 0.40780 0.63350 0.012 0.110
80 36 9 0 0.32870 0.30060 0.42190 0.31720 0.28520 0.49720 0.42850 0.73330 0.015 0.146
81 36 9 0 0.31770 0.29020 0.39010 0.31730 0.27230 0.52100 0.47160 0.76700 0.050 0.122
82 36 9 0 0.31490 0.29080 0.39940 0.31700 0.30080 0.50070 0.44130 0.72830 0.022 0.145
83 36 9 0 0.32610 0.29140 0.38170 0.34260 0.27870 0.49670 0.45900 0.74700 0.051 0.092
84 36 9 0 0.36950 0.29100 0.45560 0.36320 0.27790 0.56200 0.49700 0.86040 -0.018 0.136
85 36 9 0 0.33700 0.29030 0.36890 0.35840 0.28400 0.50150 0.48380 0.76500 0.051 0.127
86 36 9 0 0.34400 0.29350 0.38370 0.35370 0.26800 0.49690 0.46950 0.76270 0.051 0.110
87 36 9 0 0.31960 0.28890 0.41650 0.31210 0.27520 0.51670 0.45160 0.76330 0.004 0.129
88 36 9 0 0.32840 0.29180 0.37690 0.34620 0.25710 0.47150 0.44570 0.72920 0.036 0.085
89 36 9 0 0.31980 0.29380 0.36840 0.32610 0.27000 0.51030 0.47620 0.75490 0.065 0.173
90 36 9 0 0.33090 0.29470 0.40860 0.32860 0.27560 0.50870 0.45690 0.76140 0.001 0.137
91 36 9 0 0.31110 0.29910 0.37600 0.33370 0.28300 0.45860 0.41870 0.68470 -0.058 0.131
92 36 9 0 0.33220 0.29350 0.37890 0.34170 0.27630 0.49830 0.46660 0.75090 0.081 0.129
93 36 9 0 0.30460 0.29210 0.36050 0.31420 0.26740 0.48210 0.44700 0.71000 0.089 0.109
94 36 9 0 0.32680 0.29190 0.39510 0.31600 0.25970 0.53180 0.47970 0.78500 0.000 0.201
95 36 9 0 0.29820 0.30190 0.41460 0.30170 0.29240 0.47510 0.40730 0.69140 0.009 0.093
96 36 9 0 0.30890 0.29540 0.38880 0.31080 0.25930 0.47860 0.43130 0.71300 0.046 0.088
97 36 9 0 0.32020 0.30260 0.40550 0.32780 0.28150 0.47160 0.42350 0.70920 -0.019 0.117
98 36 9 0 0.30040 0.29240 0.37390 0.31440 0.27560 0.49150 0.45480 0.72500 0.026 0.146
99 36 9 0 0.31360 0.29120 0.38600 0.31530 0.26330 0.49600 0.44920 0.73630 0.046 0.138
100 36 9 0 0.35150 0.29160 0.41450 0.35270 0.27590 0.55610 0.50900 0.83870 0.085 0.099
1 36 9 5 0.38390 0.29190 0.52190 0.39730 0.30590 0.55430 0.45810 0.87670 -0.081 -0.014
2 36 9 5 0.35060 0.27930 0.40470 0.35830 0.27590 0.49840 0.46980 0.77920 0.002 -0.053
3 36 9 5 0.34350 0.29570 0.39110 0.32600 0.27440 0.47950 0.42690 0.71320 -0.004 -0.040
4 36 9 5 0.35570 0.27480 0.41340 0.38190 0.27740 0.47810 0.44960 0.77130 0.009 -0.082
5 36 9 5 0.34300 0.29490 0.38600 0.37170 0.25890 0.48010 0.46630 0.76230 0.052 -0.018
6 36 9 5 0.34110 0.28080 0.41590 0.34180 0.27400 0.47610 0.42680 0.73800 0.001 -0.052
7 36 9 5 0.33070 0.27700 0.38100 0.33190 0.28080 0.48520 0.46120 0.74010 0.065 -0.057
8 36 9 5 0.39490 0.27770 0.40860 0.41620 0.29410 0.52780 0.51250 0.84720 0.035 -0.013
9 36 9 5 0.31790 0.27720 0.41590 0.34130 0.30310 0.50350 0.43630 0.75140 -0.025 -0.035
10 36 9 5 0.33630 0.28110 0.39740 0.32600 0.26520 0.50260 0.44510 0.75200 -0.059 0.051
11 36 9 5 0.39230 0.27690 0.42200 0.41070 0.28060 0.49590 0.49040 0.82330 0.054 -0.086
12 36 9 5 0.35470 0.27520 0.39650 0.38520 0.26780 0.48220 0.47260 0.78360 0.024 -0.085
13 36 9 5 0.32070 0.30020 0.35370 0.31240 0.28580 0.44080 0.39010 0.63030 -0.008 -0.053
14 36 9 5 0.36010 0.28090 0.41560 0.39050 0.25790 0.47970 0.44490 0.77960 -0.046 -0.047
15 36 9 5 0.33730 0.27000 0.40180 0.35330 0.27200 0.50730 0.46740 0.78440 -0.038 0.020
16 36 9 5 0.32980 0.27300 0.40290 0.33560 0.28960 0.50200 0.44990 0.75560 0.007 -0.042
17 36 9 5 0.36880 0.27680 0.44480 0.39640 0.28350 0.51430 0.47460 0.82930 -0.037 -0.009
18 36 9 5 0.41560 0.27940 0.47590 0.41440 0.26980 0.56930 0.51730 0.91600 -0.031 0.023
19 36 9 5 0.37580 0.28020 0.41510 0.36580 0.27070 0.52210 0.48340 0.81280 -0.027 0.080
20 36 9 5 0.36910 0.28130 0.46180 0.40180 0.27900 0.50020 0.44410 0.81560 -0.089 -0.013
21 36 9 5 0.32560 0.28440 0.39830 0.35620 0.26830 0.47450 0.43530 0.73980 -0.001 -0.016
22 36 9 5 0.34280 0.28700 0.38410 0.35520 0.28070 0.46820 0.44060 0.72520 0.023 0.056
23 36 9 5 0.34220 0.29130 0.38900 0.34040 0.26650 0.45780 0.42380 0.70740 -0.022 -0.042
24 36 9 5 0.37150 0.28250 0.43160 0.37540 0.27720 0.50530 0.45720 0.79680 -0.020 -0.015
25 36 9 5 0.36180 0.27790 0.42670 0.37100 0.27520 0.50140 0.45900 0.79300 -0.060 0.020
26 36 9 5 0.33440 0.28080 0.41220 0.35790 0.26810 0.46680 0.42360 0.73800 -0.023 -0.043
27 36 9 5 0.38380 0.28270 0.43450 0.39010 0.27600 0.48090 0.43920 0.78040 -0.143 0.041
28 36 9 5 0.32500 0.27510 0.36000 0.32920 0.27320 0.47670 0.45700 0.72380 0.047 -0.019
29 36 9 5 0.35000 0.27380 0.40570 0.36900 0.27820 0.49240 0.46530 0.77930 0.032 0.074
30 36 9 5 0.36780 0.27870 0.44440 0.37770 0.26870 0.52340 0.46460 0.82460 -0.088 0.027
31 36 9 5 0.44660 0.29780 0.47270 0.44680 0.29390 0.48850 0.47180 0.84210 0.046 -0.112
32 36 9 5 0.38540 0.28550 0.47770 0.40900 0.30540 0.51330 0.45520 0.83150 -0.024 0.058
33 36 9 5 0.30450 0.27940 0.39140 0.33510 0.27270 0.44910 0.40140 0.68990 -0.046 -0.043
34 36 9 5 0.36270 0.28860 0.41220 0.35090 0.27320 0.47690 0.42940 0.73950 -0.056 -0.008
35 36 9 5 0.32890 0.27770 0.41110 0.32890 0.27280 0.49730 0.43370 0.74900 0.000 0.051
36 36 9 5 0.35570 0.27160 0.43510 0.38480 0.27120 0.50820 0.46560 0.81560 0.028 -0.059
37 36 9 5 0.33040 0.27780 0.37440 0.35510 0.27310 0.45930 0.43660 0.71840 0.013 -0.094
