iteration nWin nCatch sum contrast
w27_c15_0039 27 15 0.46870 0.75030
w27_c15_0040 27 15 0.46310 0.74670
w27_c15_0041 27 15 0.46520 0.74280
w27_c15_0042 27 15 0.45720 0.73590
w27_c15_0043 27 15 0.46040 0.73560
w27_c15_0044 27 15 0.46200 0.74040
w27_c15_0045 27 15 0.45730 0.74460
w27_c15_0046 27 15 0.45450 0.73430
w27_c15_0047 27 15 0.45760 0.72800
w27_c15_0048 27 15 0.46860 0.76340
w27_c15_0049 27 15 0.47400 0.77740
w27_c15_0050 27 15 0.46380 0.74780
w27_c20_0001 27 20 0.46080 0.73110
w27_c20_0002 27 20 0.45910 0.71810
w27_c20_0003 27 20 0.46710 0.76170
w27_c20_0004 27 20 0.46750 0.75470
w27_c20_0005 27 20 0.46450 0.73090
w27_c20_0006 27 20 0.45730 0.73800
w27_c20_0007 27 20 0.46830 0.74260
w27_c20_0008 27 20 0.46190 0.75590
w27_c20_0009 27 20 0.45750 0.73670
w27_c20_0010 27 20 0.45850 0.74660
w27_c20_0011 27 20 0.45620 0.72060
w27_c20_0012 27 20 0.45940 0.74150
w27_c20_0013 27 20 0.46620 0.76560
w27_c20_0014 27 20 0.46990 0.74810
w27_c20_0015 27 20 0.46590 0.74660
w27_c20_0016 27 20 0.46790 0.76290
w27_c20_0017 27 20 0.45970 0.72720
w27_c20_0018 27 20 0.47300 0.75850
w27_c20_0019 27 20 0.46920 0.75410
w27_c20_0020 27 20 0.45270 0.73350
w27_c20_0021 27 20 0.46690 0.75110
w27_c20_0022 27 20 0.45880 0.72550
w27_c20_0023 27 20 0.47240 0.76490
w27_c20_0024 27 20 0.45810 0.72720
w27_c20_0025 27 20 0.46490 0.73900
w27_c20_0026 27 20 0.46300 0.73720
w27_c20_0027 27 20 0.46970 0.76840
w27_c20_0028 27 20 0.46340 0.75600
w27_c20_0029 27 20 0.46390 0.74250
w27_c20_0030 27 20 0.46440 0.75240
w27_c20_0031 27 20 0.46470 0.76410
w27_c20_0032 27 20 0.45940 0.74840
w27_c20_0033 27 20 0.45650 0.72910
w27_c20_0034 27 20 0.46140 0.73850
w27_c20_0035 27 20 0.46770 0.75340
w27_c20_0036 27 20 0.45950 0.72890
w27_c20_0037 27 20 0.45670 0.73830
w27_c20_0038 27 20 0.45560 0.73060
w27_c20_0039 27 20 0.46760 0.75090
w27_c20_0040 27 20 0.46120 0.74630
w27_c20_0041 27 20 0.47090 0.76690
w27_c20_0042 27 20 0.47410 0.78080
w27_c20_0043 27 20 0.46330 0.75720
w27_c20_0044 27 20 0.47350 0.76090
w27_c20_0045 27 20 0.45560 0.73050
w27_c20_0046 27 20 0.46660 0.73840
w27_c20_0047 27 20 0.46480 0.74940
w27_c20_0048 27 20 0.47370 0.78090
w27_c20_0049 27 20 0.46100 0.73030
w27_c20_0050 27 20 0.47240 0.77000
w36_c05_0001 36 5 0.46430 0.72950
w36_c05_0002 36 5 0.46270 0.76210
w36_c05_0003 36 5 0.45330 0.71510
w36_c05_0004 36 5 0.45150 0.71290
w36_c05_0005 36 5 0.46250 0.74480
w36_c05_0006 36 5 0.45390 0.72750
w36_c05_0007 36 5 0.45680 0.71880
w36_c05_0008 36 5 0.45340 0.72160
w36_c05_0009 36 5 0.45380 0.72180
w36_c05_0010 36 5 0.44710 0.71770
w36_c05_0011 36 5 0.45120 0.72610
w36_c05_0012 36 5 0.46180 0.75590
w36_c05_0013 36 5 0.45150 0.72080
w36_c05_0014 36 5 0.45200 0.71920
w36_c05_0015 36 5 0.45890 0.75870
w36_c05_0016 36 5 0.46230 0.76210
w36_c05_0017 36 5 0.46330 0.75020
w36_c05_0018 36 5 0.45580 0.73350
w36_c05_0019 36 5 0.45770 0.73880
w36_c05_0020 36 5 0.45840 0.73150
w36_c05_0021 36 5 0.46020 0.76240
w36_c05_0022 36 5 0.46140 0.74200
w36_c05_0023 36 5 0.45020 0.72030
w36_c05_0024 36 5 0.45380 0.72840
w36_c05_0025 36 5 0.45170 0.71890
w36_c05_0026 36 5 0.45380 0.71420
w36_c05_0027 36 5 0.45290 0.72490
w36_c05_0028 36 5 0.45140 0.71480
w36_c05_0029 36 5 0.45350 0.73150
w36_c05_0030 36 5 0.45460 0.72260
w36_c05_0031 36 5 0.45490 0.73400
w36_c05_0032 36 5 0.45220 0.71930
w36_c05_0033 36 5 0.45560 0.72690
w36_c05_0034 36 5 0.46930 0.77330
w36_c05_0035 36 5 0.46440 0.75090
w36_c05_0036 36 5 0.44950 0.72390
w36_c05_0037 36 5 0.45460 0.73230
w36_c05_0038 36 5 0.44500 0.71470
w36_c05_0039 36 5 0.45910 0.70760
w36_c05_0040 36 5 0.45490 0.72940
w36_c05_0041 36 5 0.45080 0.70960
w36_c05_0042 36 5 0.45610 0.72940
w36_c05_0043 36 5 0.45380 0.73020
w36_c05_0044 36 5 0.44830 0.70810
